waveform	Ch0		Gen	
t0	04.02.2020  15:03:26,447537		04.02.2020  15:03:26,447541	
delta t	8,000000E-6		8,000000E-6	

time[0]	Ch0	time[1]	Gen
04.02.2020  15:03:26,448977	4,838225E+0	04.02.2020  15:03:26,448981	-3,665320E-4
04.02.2020  15:03:26,448985	4,853058E+0	04.02.2020  15:03:26,448989	-6,889837E-4
04.02.2020  15:03:26,448993	4,865311E+0	04.02.2020  15:03:26,448997	2,783715E-4
04.02.2020  15:03:26,449001	4,890463E+0	04.02.2020  15:03:26,449005	-3,665320E-4
04.02.2020  15:03:26,449009	4,901426E+0	04.02.2020  15:03:26,449013	-3,665320E-4
04.02.2020  15:03:26,449017	4,916259E+0	04.02.2020  15:03:26,449021	-4,408025E-5
04.02.2020  15:03:26,449025	4,930770E+0	04.02.2020  15:03:26,449029	-6,889837E-4
04.02.2020  15:03:26,449033	4,953342E+0	04.02.2020  15:03:26,449037	-3,665320E-4
04.02.2020  15:03:26,449041	4,964306E+0	04.02.2020  15:03:26,449045	-3,665320E-4
04.02.2020  15:03:26,449049	4,980751E+0	04.02.2020  15:03:26,449053	-1,011435E-3
04.02.2020  15:03:26,449057	4,965596E+0	04.02.2020  15:03:26,449061	-6,889837E-4
04.02.2020  15:03:26,449065	4,950762E+0	04.02.2020  15:03:26,449069	-3,665320E-4
04.02.2020  15:03:26,449073	4,936252E+0	04.02.2020  15:03:26,449077	-3,665320E-4
04.02.2020  15:03:26,449081	4,919484E+0	04.02.2020  15:03:26,449085	-4,408025E-5
04.02.2020  15:03:26,449089	4,899814E+0	04.02.2020  15:03:26,449093	-6,889837E-4
04.02.2020  15:03:26,449097	4,888528E+0	04.02.2020  15:03:26,449101	-3,665320E-4
04.02.2020  15:03:26,449105	4,872083E+0	04.02.2020  15:03:26,449109	-6,889837E-4
04.02.2020  15:03:26,449113	4,860152E+0	04.02.2020  15:03:26,449117	-6,889837E-4
04.02.2020  15:03:26,449121	4,838547E+0	04.02.2020  15:03:26,449125	-4,408025E-5
04.02.2020  15:03:26,449129	4,824359E+0	04.02.2020  15:03:26,449133	-3,665320E-4
04.02.2020  15:03:26,449137	4,809848E+0	04.02.2020  15:03:26,449141	-1,011435E-3
04.02.2020  15:03:26,449145	4,793081E+0	04.02.2020  15:03:26,449149	-1,011435E-3
04.02.2020  15:03:26,449153	4,774056E+0	04.02.2020  15:03:26,449157	-3,665320E-4
04.02.2020  15:03:26,449161	4,759868E+0	04.02.2020  15:03:26,449165	-6,889837E-4
04.02.2020  15:03:26,449169	4,745679E+0	04.02.2020  15:03:26,449173	-3,665320E-4
04.02.2020  15:03:26,449177	4,725042E+0	04.02.2020  15:03:26,449181	-3,665320E-4
04.02.2020  15:03:26,449185	4,713434E+0	04.02.2020  15:03:26,449189	-1,011435E-3
04.02.2020  15:03:26,449193	4,697956E+0	04.02.2020  15:03:26,449197	-6,889837E-4
04.02.2020  15:03:26,449201	4,683768E+0	04.02.2020  15:03:26,449205	-3,665320E-4
04.02.2020  15:03:26,449209	4,664098E+0	04.02.2020  15:03:26,449213	-6,889837E-4
04.02.2020  15:03:26,449217	4,650555E+0	04.02.2020  15:03:26,449221	-3,665320E-4
04.02.2020  15:03:26,449225	4,633787E+0	04.02.2020  15:03:26,449229	-4,408025E-5
04.02.2020  15:03:26,449233	4,615729E+0	04.02.2020  15:03:26,449237	-6,889837E-4
04.02.2020  15:03:26,449241	4,599284E+0	04.02.2020  15:03:26,449245	-6,889837E-4
04.02.2020  15:03:26,449249	4,584773E+0	04.02.2020  15:03:26,449253	-3,665320E-4
04.02.2020  15:03:26,449257	4,569618E+0	04.02.2020  15:03:26,449261	-3,665320E-4
04.02.2020  15:03:26,449265	4,549948E+0	04.02.2020  15:03:26,449269	-3,665320E-4
04.02.2020  15:03:26,449273	4,537694E+0	04.02.2020  15:03:26,449277	-3,665320E-4
04.02.2020  15:03:26,449281	4,521894E+0	04.02.2020  15:03:26,449285	-1,011435E-3
04.02.2020  15:03:26,449289	4,506094E+0	04.02.2020  15:03:26,449293	-6,889837E-4
04.02.2020  15:03:26,449297	4,488359E+0	04.02.2020  15:03:26,449301	-4,408025E-5
04.02.2020  15:03:26,449305	4,476428E+0	04.02.2020  15:03:26,449309	-3,665320E-4
04.02.2020  15:03:26,449313	4,458370E+0	04.02.2020  15:03:26,449317	-3,665320E-4
04.02.2020  15:03:26,449321	4,440635E+0	04.02.2020  15:03:26,449325	-6,889837E-4
04.02.2020  15:03:26,449329	4,423545E+0	04.02.2020  15:03:26,449333	-3,665320E-4
04.02.2020  15:03:26,449337	4,410324E+0	04.02.2020  15:03:26,449341	-3,665320E-4
04.02.2020  15:03:26,449345	4,393556E+0	04.02.2020  15:03:26,449349	-3,665320E-4
04.02.2020  15:03:26,449353	4,378401E+0	04.02.2020  15:03:26,449357	-1,011435E-3
04.02.2020  15:03:26,449361	4,361633E+0	04.02.2020  15:03:26,449365	-4,408025E-5
04.02.2020  15:03:26,449369	4,346477E+0	04.02.2020  15:03:26,449373	-3,665320E-4
04.02.2020  15:03:26,449377	4,326808E+0	04.02.2020  15:03:26,449381	-1,011435E-3
04.02.2020  15:03:26,449385	4,315199E+0	04.02.2020  15:03:26,449389	-6,889837E-4
04.02.2020  15:03:26,449393	4,296497E+0	04.02.2020  15:03:26,449397	-1,011435E-3
04.02.2020  15:03:26,449401	4,283921E+0	04.02.2020  15:03:26,449405	-3,665320E-4
04.02.2020  15:03:26,449409	4,264251E+0	04.02.2020  15:03:26,449413	-4,408025E-5
04.02.2020  15:03:26,449417	4,251675E+0	04.02.2020  15:03:26,449421	-4,408025E-5
04.02.2020  15:03:26,449425	4,237165E+0	04.02.2020  15:03:26,449429	-1,011435E-3
